,rater0_sample_top_dice,rater0_sample_best_avd,rater1_sample_top_dice,rater1_sample_best_avd,GED_vol_sorted,GED_dice_sorted,rater0_best_dice_dsorted_ss20,rater1_best_dice_dsorted_ss20
0,0.52867186,3.967109,0.5662575,1.3424882,0.6233367,0.6194553473670232,0.5699347853660583,0.6001891493797302
1,0.62974375,1.0342302,0.6333199,0.40136462,0.5291378,0.5259966531866476,0.6566270589828491,0.6584537625312805
2,0.67694736,1.295381,0.6954273,0.67260325,0.40501472,0.40303502239679045,0.6999552249908447,0.7227696180343628
3,0.1441799,0.48367596,0.16058394,4.6692605,0.4413021,0.4304490732617283,0.18450912833213806,0.1747787594795227
4,0.2095672,6.25,0.2719449,1.3736264,0.4779164,0.47504196668926046,0.2867756187915802,0.3425149619579315
5,0.13892807,5.532787,0.12776831,1.2239021,0.8042039,0.7885734294320603,0.20963652431964874,0.20168067514896393
6,0.29919532,2.9581995,0.30117646,11.839323,0.61889523,0.6174521581318818,0.36243537068367004,0.33804914355278015
7,0.58817846,0.73042685,0.6087702,2.0053945,0.72205424,0.7149497783105625,0.6212881803512573,0.642531156539917
8,0.5656478,1.361787,0.5627373,1.594913,0.5844028,0.5729767157843239,0.6043608784675598,0.5979741215705872
9,0.22456814,17.173914,0.22144726,3.0088496,0.46204028,0.4609590377609589,0.35227271914482117,0.2907542586326599
10,0.6844512,0.45008186,0.6770108,2.4837744,0.4820954,0.47862302104109217,0.7091652154922485,0.7039006352424622
11,0.29291338,5.4908485,0.3060257,3.081664,0.53129774,0.5346164640137241,0.3474387526512146,0.35331565141677856
12,0.7024032,0.38032454,0.7009709,0.46964335,0.5217947,0.5192000822801339,0.728308916091919,0.7278718948364258
13,0.7305964,3.9784904,0.7335101,0.9688176,0.50583357,0.5043527198465246,0.7462225556373596,0.7516080737113953
14,0.38264176,0.4008016,0.38364166,1.6744186,0.5832488,0.5647280071322854,0.4842465817928314,0.48885148763656616
15,0.34042552,0.108342364,0.33075735,2.6054592,0.64238536,0.6419620906247905,0.44403329491615295,0.4602128863334656
16,0.70660365,4.5341783,0.70504296,2.836821,0.5683983,0.5666100304377706,0.7158769965171814,0.7178871035575867
