,rater0_sample_top_dice,rater0_sample_best_avd,rater1_sample_top_dice,rater1_sample_best_avd,GED_vol_sorted,GED_dice_sorted,rater0_best_dice_dsorted_ss3,rater1_best_dice_dsorted_ss3
0,0.6477552,0.0896459,0.65423316,20.508657,0.50746846,0.5074648956457775,0.649350643157959,0.6553921699523926
1,0.6540969,27.402676,0.5662414,35.95385,0.81596994,0.8159693678220112,0.6556046009063721,0.5673549771308899
2,0.6207841,32.010353,0.5569995,36.366085,0.8573352,0.8573326965173086,0.6220850348472595,0.5577334761619568
3,0.61732227,36.363636,0.5544168,42.101208,0.8213651,0.8213571906089783,0.6193771362304688,0.5561898350715637
4,0.7417241,39.005516,0.7437704,38.680374,0.73373526,0.7337343295415242,0.7417988777160645,0.7438457012176514
5,0.62965465,46.654697,0.622633,46.54767,0.95470667,0.9547061224778494,0.6300283670425415,0.6230942606925964
6,0.64544266,42.459637,0.62426764,44.825085,0.9323581,0.932359238465627,0.6456988453865051,0.6245381832122803
7,0.65276766,37.96476,0.61244327,44.669926,0.8970301,0.897030085325241,0.6534441113471985,0.6131526231765747
8,0.65683746,41.89821,0.62042856,46.066093,0.9222317,0.9222309390703837,0.657367467880249,0.6209648251533508
9,0.68519366,34.456646,0.6429417,40.6141,0.8347965,0.8347950279712676,0.6858407258987427,0.6435750126838684
10,0.68980926,34.723404,0.600413,38.778767,0.77054787,0.7705459098021189,0.6905436515808105,0.6012219190597534
11,0.62205404,42.499577,0.5277528,61.86766,0.8257877,0.8257873753706614,0.6231460571289062,0.527925431728363
12,0.31930935,68.6145,0.27391684,73.115234,1.144639,1.1446348826090496,0.3199036419391632,0.27440327405929565
13,0.7267661,32.42714,0.7291192,37.102203,0.74756306,0.7475617925326029,0.7271828055381775,0.7294877171516418
14,0.2978979,53.810978,0.3358406,28.749567,1.00346,1.003453234831492,0.29967036843299866,0.33821138739585876
15,0.7550055,34.44205,0.7428495,37.391586,0.6978388,0.6978386839230856,0.755264401435852,0.7430724501609802
16,0.08898706,434.1414,0.23681858,46.72586,0.9721419,0.9721377640962602,0.08969465643167496,0.23804177343845367
17,0.67777246,34.808495,0.6101167,30.332493,0.7194698,0.7194680770238241,0.6783673763275146,0.610745370388031
18,0.70989364,35.820107,0.60818905,51.371075,0.71928006,0.719279557466507,0.7100683450698853,0.6082969307899475
19,0.32677287,18.679459,0.2913233,46.33147,1.1543021,1.1543011367321014,0.3282179832458496,0.29301533102989197
20,0.7292646,26.675426,0.71867114,35.77348,0.6409222,0.6409214735031128,0.7295616269111633,0.7190830111503601
21,0.26819924,61.123596,0.23775639,52.391075,1.1510795,1.1510738482077918,0.2701543867588043,0.23875577747821808
22,0.5838025,37.858643,0.48133335,58.113205,0.8476552,0.847645213206609,0.5857885479927063,0.4828276038169861
23,0.13972217,60.73491,0.26819718,28.036085,1.0531572,1.0531538650393486,0.14121906459331512,0.269620418548584
24,0.36889046,28.562693,0.28888205,43.819145,1.0680952,1.0680906673272452,0.37026447057724,0.29012346267700195
25,0.3453103,50.349163,0.31889924,59.602272,1.1320078,1.1319850732882817,0.34725481271743774,0.3200649917125702
26,0.23951049,36.337627,0.175,71.38264,1.061239,1.061231297751268,0.2407732903957367,0.17561465501785278
27,0.5840576,16.25683,0.4761019,48.02148,0.83203864,0.832038789987564,0.586044192314148,0.4772896468639374
28,0.6934752,30.198236,0.54592896,26.379372,0.7438594,0.7438566287358601,0.6940206289291382,0.5469765067100525
29,0.48197934,2.3416507,0.4349776,31.243244,0.9613873,0.9613813062508901,0.4837009608745575,0.43616509437561035
30,0.6842858,40.8681,0.6692488,44.343964,0.77705795,0.7770562569300334,0.6849663257598877,0.6698276996612549
31,0.2744154,49.56027,0.38237336,48.872574,0.9432119,0.9432120968898138,0.2752673327922821,0.38343772292137146
32,0.65436244,26.844988,0.2236671,3.527412,0.6467118,0.6467081954081854,0.6554747223854065,0.22487519681453705
33,0.4316,34.710743,0.4500299,34.990128,0.9147006,0.9146913985411326,0.4328448176383972,0.4519096314907074
34,0.7296819,33.47162,0.67844224,43.603466,0.71965057,0.7196488777796427,0.730248212814331,0.6787518858909607
35,0.58931553,10.708661,0.49849308,48.076923,0.68166924,0.6816633641719817,0.5904920697212219,0.4993961453437805
36,0.5,44.19808,0.3807546,64.62043,0.97265595,0.9726609687010447,0.5009505748748779,0.3814147114753723
37,0.5727991,50.116306,0.6040643,47.066082,0.7759105,0.7759092152118682,0.5733643770217896,0.6047570109367371
38,0.4692189,50.283432,0.45062587,50.891747,1.0969077,1.096905767917633,0.47000983357429504,0.4510650038719177
39,0.55636895,0.7642563,0.56803876,27.413288,0.8827309,0.8827210466066997,0.5584795475006104,0.5702479481697083
40,0.26933476,23.773584,0.25895953,55.260242,1.2180746,1.2180763085683188,0.2709120213985443,0.26066896319389343
41,0.49695876,35.042736,0.37631184,51.282055,0.9541662,0.9541635910669962,0.49819332361221313,0.3770892024040222
42,0.76597285,30.430445,0.7539186,29.252497,0.6467436,0.6467421253522238,0.7662290334701538,0.7541717886924744
43,0.2253194,25.044092,0.23373175,7.2936664,1.2728162,1.2727939610679944,0.2270776480436325,0.23529411852359772
44,0.3075269,1.4830508,0.16852146,179.2683,0.8405677,0.84056772540013,0.3075268864631653,0.16987179219722748
45,0.6636761,24.762102,0.56876665,32.3852,0.8217249,0.8217195272445678,0.6651685237884521,0.5701588988304138
46,0.36214545,66.469215,0.40624487,55.703102,1.0976758,1.0976721793413162,0.3629998564720154,0.4073098599910736
47,0.27684963,17.850954,0.23590814,43.07944,1.0764153,1.0763938973347345,0.27936509251594543,0.23714585602283478
